Index,1 YR,5 YR,1 YR %,5 YR %
MSCI World IMI Index,16.70%,13.80%,16.7,13.8
MSCI ACWI IMI Index,17.30%,13.10%,17.3,13.1
MSCI EM (Emerging Markets) IMI Index,22.20%,7.80%,22.2,7.8
MSCI EM (Emerging Markets) Index,23.90%,7.20%,23.9,7.2
MSCI World Index,17.00%,14.20%,17.0,14.2
MSCI ACWI Index,17.70%,13.30%,17.7,13.3
MSCI EAFE Index,20.80%,11.70%,20.8,11.7
MSCI Europe Index,21.80%,12.90%,21.8,12.9
MSCI USA Index,15.40%,15.10%,15.4,15.1
MSCI China Index,33.40%,-1.30%,33.4,-1.3
MSCI USA IMI Index,14.70%,14.70%,14.7,14.7
MSCI China IMI Index,34.40%,-1.30%,34.4,-1.3
MSCI Pakistan Index,89.30%,8.70%,89.3,8.7
MSCI Sweden Index,20.20%,10.00%,20.2,10.0
MSCI Hong Kong Index,22.20%,2.80%,22.2,2.8
MSCI Philippines Index,-12.40%,1.40%,-12.4,1.4
MSCI Switzerland Index,16.80%,9.70%,16.8,9.7
MSCI Saudi Arabia Index,4.30%,9.30%,4.3,9.3
MSCI Hungary Index,56.70%,23.50%,56.7,23.5
MSCI Panama Index,32.10%,25.60%,32.1,25.6
MSCI India Index,-3.80%,14.20%,-3.8,14.2
MSCI Peru Index,42.30%,23.10%,42.3,23.1
MSCI Argentina Index,-10.90%,33.20%,-10.9,33.2
MSCI Serbia Index,-70.10%,-9.80%,-70.1,-9.8
MSCI Germany Index,29.70%,11.10%,29.7,11.1
MSCI Australia Index,7.20%,10.60%,7.2,10.6
MSCI Czech Republic Index,76.00%,35.90%,76.0,35.9
MSCI Netherlands Index,30.10%,12.80%,30.1,12.8
MSCI Oman Index,16.30%,19.50%,16.3,19.5
MSCI Qatar Index,5.50%,5.10%,5.5,5.1
MSCI Bahrain Index,23.30%,19.00%,23.3,19.0
MSCI Kuwait Index,27.10%,11.60%,27.1,11.6
MSCI United Arab Emirates Index,41.70%,19.40%,41.7,19.4
MSCI Austria Index,58.50%,26.90%,58.5,26.9
MSCI Canada Index,25.00%,15.60%,25.0,15.6
MSCI Poland Index,41.90%,16.70%,41.9,16.7
MSCI Denmark Index,-30.60%,4.50%,-30.6,4.5
MSCI Ireland Index,27.60%,11.80%,27.6,11.8
MSCI Portugal Index,18.10%,6.50%,18.1,6.5
MSCI Trinidad and Tobago Index,7.10%,-1.70%,7.1,-1.7
MSCI Jamaica Index,0.40%,-11.70%,0.4,-11.7
MSCI Bangladesh Index,-7.50%,-6.70%,-7.5,-6.7
MSCI Italy Index,37.30%,22.50%,37.3,22.5
MSCI Bosnia and Herzegovina Index,-0.80%,8.40%,-0.8,8.4
MSCI Greece Index,74.80%,30.90%,74.8,30.9
MSCI South Africa Index,48.10%,16.90%,48.1,16.9
MSCI Turkey Index,-2.70%,13.60%,-2.7,13.6
MSCI Belgium Index,25.70%,10.70%,25.7,10.7
MSCI Zimbabwe Index,-20.50%,19.50%,-20.5,19.5
MSCI Mexico Index,34.20%,18.30%,34.2,18.3
MSCI Sri Lanka Index,52.70%,1.40%,52.7,1.4
MSCI New Zealand Index,-3.50%,-3.80%,-3.5,-3.8
MSCI Japan Index,20.90%,9.60%,20.9,9.6
MSCI Israel Index,35.30%,12.00%,35.3,12.0
MSCI Bulgaria Index,63.60%,33.00%,63.6,33.0
MSCI Croatia Index,42.60%,17.90%,42.6,17.9
MSCI Lithuania Index,23.50%,9.10%,23.5,9.1
MSCI Romania Index,37.20%,24.90%,37.2,24.9
MSCI Estonia Index,8.20%,4.60%,8.2,4.6
MSCI Kazakhstan Index,4.90%,25.50%,4.9,25.5
